"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.133,"2.235","2.251"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","12.09.",2.093,"2.193","-"
"5","Shell Express,  Karjalankatu (*Vpower)","12.09.",2.093,"-","-"
"6","Neste,  Karjalankatu 7","11.09.",2.109,"2.209","2.229"
"7","St1, Kortela Vanha Turuntie, 8-tie","11.09.",2.134,"2.239","2.239"
"8","ABC, Talliketo Tallikedonkatu 12","11.09.",2.12,"2.220","2.240"
"9","ABC, Prisma Porintie 4 (E85 1.671)","11.09.",2.122,"2.237","2.242"
"10","ABC, Kortela Unajantie 2, 8-tie","10.09.",2.161,"2.266","2.266"
"11","ABC, Sale Monnankatu 4","08.09.",2.171,"-","-"
"12","Neste Oil, K-Supermarket Ahteentie 1","08.09.",2.144,"2.249","2.249"
"13","St1,  Nortamonkatu 19","08.09.",2.178,"2.268","2.293"
