"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","2.517","2.614","2.449"
"3","","","","",""
"4","ABC, Prisma Porintie 4 (E85 1.304)","15.06.","2.629","-","-"
"5","Shell Express,  Karjalankatu (*Vpower)","15.06.","2.595","-","-"
"6","Neste,  Karjalankatu 7","14.06.","-","2.729","2.529"
"7","St1,  Nortamonkatu 19","14.06.","2.459","2.559","-"
"8","ABC, Talliketo Tallikedonkatu 12","13.06.","2.487","-","-"
"9","St1, Kortela Vanha Turuntie, 8-tie","12.06.","2.474","2.584","2.369"
"10","ABC, Sale Monnankatu 4","12.06.","2.499","-","-"
"11","Neste Oil, K-Supermarket Ahteentie 1","12.06.","2.474","2.584","-"
