"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.013,"2.114","-"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","13.03.",2.02,"2.120","-"
"5","St1, Kortela Vanha Turuntie, 8-tie","13.03.",1.998,"2.098","-"
"6","ABC, Kortela Unajantie 2, 8-tie","13.03.",2.022,"2.122","-"
"7","ABC, S-Market Äyhönjärventie 1","13.03.",2.019,"-","-"
"8","ABC, Prisma Porintie 4 (E85 1.671)","13.03.",2.022,"2.132","-"
"9","ABC, Talliketo Tallikedonkatu 12","13.03.",2.021,"2.121","-"
"10","Neste,  Karjalankatu 7","13.03.",1.992,"2.092","-"
