"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.183,"2.280","2.174"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","26.08.",2.162,"2.262","-"
"5","ABC, Talliketo Tallikedonkatu 12","26.08.",2.188,"2.288","-"
"6","Shell Express,  Karjalankatu (*Vpower)","26.08.",2.162,"*2.272","-"
"7","Neste Oil, K-Supermarket Ahteentie 1","26.08.",2.152,"2.242","-"
"8","Neste,  Karjalankatu 7","25.08.",2.178,"2.278","2.168"
"9","ABC, Sale Monnankatu 4","25.08.",2.206,"2.306","2.196"
"10","Teboil (A), Sampaanala Nortamonkatu 35","25.08.",2.179,"2.269","2.169"
"11","St1, Kortela Vanha Turuntie, 8-tie","25.08.",2.179,"2.269","2.169"
"12","ABC, Prisma Porintie 4 (E85 1.671)","25.08.",2.205,"2.315","2.195"
"13","St1,  Nortamonkatu 19","25.08.",2.193,"2.284","2.183"
"14","ABC, Kortela Unajantie 2, 8-tie","24.08.",2.206,"2.306","2.196"
"15","ABC, S-Market Äyhönjärventie 1","24.08.",2.205,"2.311","2.195"
"16","Neste, Syvärauma Syväraumankatu 24","24.08.",2.169,"2.229","2.099"
