"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,NA,""
"2","Keskihinnat:","",2.059,2.16,"2.063"
"3","","",NA,NA,""
"4","Neste,  Karjalankatu 7","15.03.",2.059,2.159,"2.109"
"5","Teboil (A), Sampaanala Nortamonkatu 35","15.03.",2.079,2.179,"-"
"6","ABC, S-Market Äyhönjärventie 1","15.03.",2.089,2.189,"-"
"7","ABC, Kortela Unajantie 2, 8-tie","15.03.",2.089,2.189,"-"
"8","ABC, Talliketo Tallikedonkatu 12","15.03.",2.089,2.189,"-"
"9","ABC, Prisma Porintie 4 (E85 1.671)","15.03.",2.089,2.199,"-"
"10","St1,  Nortamonkatu 19","15.03.",2.079,2.179,"-"
"11","Teboil Express, Papinhaka Papinhaankatu 7","15.03.",1.956,2.056,"2.016"
"12","St1, Kortela Vanha Turuntie, 8-tie","13.03.",1.998,2.098,"-"
