"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",NA
"2","Keskihinnat:","",2.003,"2.112",2.191
"3","","",NA,"",NA
"4","Neste,  Karjalankatu 7","19.01.",1.999,"2.109",2.179
"5","Teboil Express, Papinhaka Papinhaankatu 7","19.01.",1.849,"1.949",2.069
"6","ABC, Talliketo Tallikedonkatu 12","18.01.",2.042,"2.142",2.222
"7","St1, Kortela Vanha Turuntie, 8-tie","18.01.",1.999,"2.109",2.189
"8","Shell Express,  Karjalankatu (*Vpower)","18.01.",2.019,"*2.149",2.199
"9","ABC, Kortela Unajantie 2, 8-tie","18.01.",2.023,"2.133",2.213
"10","ABC, Sale Monnankatu 4","18.01.",2.023,"2.133",2.213
"11","Neste Oil, K-Supermarket Ahteentie 1","18.01.",1.999,"2.109",2.189
"12","ABC, S-Market Äyhönjärventie 1","18.01.",2.033,"2.153",2.218
"13","ABC, Prisma Porintie 4 (E85 1.671)","18.01.",2.043,"2.173",2.223
