"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.057,"2.154","2.141"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","28.09.",2.059,"2.159","2.159"
"5","ABC, Talliketo Tallikedonkatu 12","28.09.",2.079,"2.179","2.185"
"6","St1,  Nortamonkatu 19","28.09.",2.079,"2.179","2.179"
"7","Shell Express,  Karjalankatu (*Vpower)","28.09.",2.059,"*2.169","2.159"
"8","Neste,  Karjalankatu 7","28.09.",2.079,"2.179","2.179"
"9","Teboil Express, Papinhaka Papinhaankatu 7","28.09.",2.012,"2.112","-"
"10","ABC, Prisma Porintie 4 (E85 1.671)","27.09.",2.041,"2.151","2.105"
"11","Neste, Syvärauma Syväraumankatu 24","27.09.",2.055,"2.115","2.125"
"12","Neste Oil, K-Supermarket Ahteentie 1","26.09.",2.027,"2.127","2.091"
"13","ABC, Sale Monnankatu 4","26.09.",2.054,"2.154","2.118"
"14","St1, Kortela Vanha Turuntie, 8-tie","26.09.",2.039,"2.139","2.103"
"15","ABC, Kortela Unajantie 2, 8-tie","24.09.",2.106,"2.200","2.145"
