"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","1.915","1.984","2.004"
"3","","","","",""
"4","ABC, Kortela Unajantie 2, 8-tie","09.08.","2.067","-","2.014"
"5","Neste,  Karjalankatu 7","09.08.","2.044","2.144","1.994"
"6","ABC, Sale Monnankatu 4","06.08.","1.854","1.954","-"
"7","Neste Oil, K-Supermarket Ahteentie 1","06.08.","1.834","1.934","-"
"8","Teboil (A),  Hankkarintie 2","05.08.","-","1.933","-"
"9","ABC, Talliketo Tallikedonkatu 12","05.08.","1.854","1.954","-"
"10","Shell Express,  Karjalankatu (*Vpower)","05.08.","1.839","*1.949","-"
