"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.172,"2.272","2.093"
"3","","",NA,"",""
"4","Neste Oil, K-Supermarket Ahteentie 1","10.08.",2.145,"2.245","2.039"
"5","Teboil (A), Sampaanala Nortamonkatu 35","10.08.",2.179,"2.269","2.208"
"6","ABC, Sale Monnankatu 4","10.08.",2.171,"2.271","2.065"
"7","ABC, Talliketo Tallikedonkatu 12","10.08.",2.18,"2.280","2.074"
"8","Neste,  Karjalankatu 7","10.08.",2.155,"2.255","2.047"
"9","Shell Express,  Karjalankatu (*Vpower)","10.08.",2.155,"*2.265","2.072"
"10","ABC, Kortela Unajantie 2, 8-tie","10.08.",2.204,"2.304","2.133"
"11","St1, Kortela Vanha Turuntie, 8-tie","10.08.",2.179,"2.279","2.108"
"12","St1,  Nortamonkatu 19","10.08.",2.169,"2.269","2.087"
"13","ABC, Prisma Porintie 4 (E85 1.304)","10.08.",2.182,"-","-"
