"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,NA,NA
"2","Keskihinnat:","",1.916,2.02,2.124
"3","","",NA,NA,NA
"4","Teboil Express, Papinhaka Papinhaankatu 7","14.01.",1.889,1.989,2.099
"5","ABC, Talliketo Tallikedonkatu 12","14.01.",1.922,2.022,2.132
"6","ABC, Prisma Porintie 4 (E85 1.671)","14.01.",1.922,2.022,2.132
"7","St1, Kortela Vanha Turuntie, 8-tie","14.01.",1.902,2.012,2.112
"8","Teboil (A), Sampaanala Nortamonkatu 35","14.01.",1.914,2.014,2.124
"9","Neste,  Karjalankatu 7","13.01.",1.899,2.009,2.109
"10","ABC, Kortela Unajantie 2, 8-tie","12.01.",1.943,2.053,2.153
"11","St1,  Nortamonkatu 19","11.01.",1.939,2.039,2.129
