"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.968,"2.074","2.115"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","20.09.",1.96,"2.060","-"
"5","ABC, Kortela Unajantie 2, 8-tie","20.09.",1.982,"2.082","2.129"
"6","ABC, Sale Monnankatu 4","20.09.",1.982,"2.082","2.129"
"7","ABC, S-Market Äyhönjärventie 1","20.09.",1.982,"2.087","2.127"
"8","St1, Kortela Vanha Turuntie, 8-tie","20.09.",1.955,"2.055","2.102"
"9","Neste Oil, K-Supermarket Ahteentie 1","20.09.",1.944,"2.077","2.087"
"10","ABC, Prisma Porintie 4 (E85 1.671)","20.09.",1.982,"2.092","2.125"
"11","Shell Express,  Karjalankatu (*Vpower)","20.09.",1.954,"*2.064","2.097"
"12","ABC, Talliketo Tallikedonkatu 12","20.09.",1.98,"2.080","2.123"
"13","St1,  Nortamonkatu 19","20.09.",1.969,"2.069","2.113"
"14","Teboil (A), Sampaanala Nortamonkatu 35","19.09.",1.966,"2.066","2.117"
"15","Teboil Express, Papinhaka Papinhaankatu 7","19.09.",1.965,"2.065","-"
