"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","2.088","2.191","2.210"
"3","","","","",""
"4","Neste,  Karjalankatu 7","14.09.","-","2.192","2.192"
"5","ABC, Sale Monnankatu 4","14.09.","2.126","2.226","2.226"
"6","Teboil (A), Sampaanala Nortamonkatu 35","14.09.","2.098","2.189","2.215"
"7","St1, Kortela Vanha Turuntie, 8-tie","14.09.","2.083","2.183","2.199"
"8","St1,  Nortamonkatu 19","14.09.","2.083","2.183","2.198"
"9","Neste Oil, K-Supermarket Ahteentie 1","14.09.","2.034","2.134","2.199"
"10","ABC, Kortela Unajantie 2, 8-tie","14.09.","2.110","2.210","2.226"
"11","Teboil Express, Papinhaka Papinhaankatu 7","14.09.","2.038","2.138","2.158"
"12","Shell Express,  Karjalankatu (*Vpower)","13.09.","2.067","*2.177","-"
"13","ABC, Talliketo Tallikedonkatu 12","11.09.","2.120","2.220","2.240"
"14","ABC, Prisma Porintie 4 (E85 1.671)","11.09.","2.122","2.237","2.242"
