"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.895,"2.011","2.093"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","11.01.",1.939,"2.039","2.129"
"5","St1, Kortela Vanha Turuntie, 8-tie","11.01.",1.959,"2.069","2.169"
"6","St1,  Nortamonkatu 19","11.01.",1.939,"2.039","2.129"
"7","Teboil Express, Papinhaka Papinhaankatu 7","11.01.",1.851,"1.951","2.021"
"8","Neste,  Karjalankatu 7","10.01.",1.849,"1.959","2.019"
"9","ABC, Talliketo Tallikedonkatu 12","09.01.",1.882,"-","-"
"10","ABC, Prisma Porintie 4 (E85 1.671)","09.01.",1.883,"-","-"
"11","Shell Express,  Karjalankatu (*Vpower)","09.01.",1.859,"*1.969","-"
