"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.904,"2.023","2.118"
"3","","",NA,"",""
"4","ABC, Kortela Unajantie 2, 8-tie","12.01.",1.943,"2.053","2.153"
"5","Teboil (A), Sampaanala Nortamonkatu 35","12.01.",1.939,"2.039","2.129"
"6","St1, Kortela Vanha Turuntie, 8-tie","12.01.",1.919,"2.029","2.129"
"7","Neste,  Karjalankatu 7","11.01.",1.919,"2.029","2.144"
"8","St1,  Nortamonkatu 19","11.01.",1.939,"2.039","2.129"
"9","Teboil Express, Papinhaka Papinhaankatu 7","11.01.",1.851,"1.951","2.021"
"10","ABC, Talliketo Tallikedonkatu 12","09.01.",1.882,"-","-"
"11","ABC, Prisma Porintie 4 (E85 1.671)","09.01.",1.883,"-","-"
"12","Shell Express,  Karjalankatu (*Vpower)","09.01.",1.859,"*1.969","-"
