"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.08,"2.184","2.245"
"3","","",NA,"",""
"4","ABC, Prisma Porintie 4 (E85 1.671)","16.11.",2.127,"2.237","2.287"
"5","ABC, Sale Monnankatu 4","16.11.",2.126,"2.226","2.286"
"6","Neste Oil, K-Supermarket Ahteentie 1","16.11.",2.099,"2.199","2.259"
"7","Teboil Express, Papinhaka Papinhaankatu 7","16.11.",2.008,"2.108","2.173"
"8","ABC, Kortela Unajantie 2, 8-tie","16.11.",2.126,"2.226","2.286"
"9","ABC, Talliketo Tallikedonkatu 12","16.11.",2.125,"2.225","-"
"10","Neste,  Karjalankatu 7","15.11.",2.014,"2.114","2.179"
"11","Shell Express,  Karjalankatu (*Vpower)","15.11.",2.052,"*2.162","-"
"12","Teboil (A), Sampaanala Nortamonkatu 35","15.11.",2.074,"2.174","2.249"
"13","St1, Kortela Vanha Turuntie, 8-tie","15.11.",2.074,"2.174","2.249"
"14","St1,  Nortamonkatu 19","15.11.",2.059,"2.159","2.234"
