"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.031,"2.138","2.075"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","04.04.",2.064,"2.164","2.064"
"5","Neste,  Karjalankatu 7","04.04.",2.069,"2.169","2.069"
"6","Neste, Syvärauma Syväraumankatu 24","04.04.",2.008,"2.078","-"
"7","St1,  Nortamonkatu 19","04.04.",2.079,"2.179","2.079"
"8","ABC, Kortela Unajantie 2, 8-tie","04.04.",2.089,"2.189","2.189"
"9","ABC, Sale Monnankatu 4","03.04.",1.994,"-","-"
"10","Neste Oil, K-Supermarket Ahteentie 1","03.04.",1.974,"2.074","1.974"
"11","Teboil Express, Papinhaka Papinhaankatu 7","03.04.",1.984,"-","-"
"12","ABC, Talliketo Tallikedonkatu 12","02.04.",2.014,"2.114","-"
