"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.016,"2.122","1.870"
"3","","",NA,"",""
"4","ABC, Kortela Unajantie 2, 8-tie","02.06.",2.032,"2.132","1.883"
"5","St1, Kortela Vanha Turuntie, 8-tie","02.06.",2.012,"2.112","1.863"
"6","Neste,  Karjalankatu 7","02.06.",2.013,"2.113","1.863"
"7","ABC, Sale Monnankatu 4","01.06.",2.06,"2.160","-"
"8","Neste Oil, K-Supermarket Ahteentie 1","01.06.",2.04,"2.140","-"
"9","Teboil Express, Papinhaka Papinhaankatu 7","01.06.",2.069,"2.169","-"
"10","ABC, Prisma Porintie 4 (E85 1.671)","01.06.",2.047,"-","-"
"11","Neste, Syvärauma Syväraumankatu 24","30.05.",1.959,"2.029","-"
"12","Shell Express,  Karjalankatu (*Vpower)","30.05.",1.912,"*2.022","-"
