"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.16,"2.254","2.258"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","08.09.",2.171,"-","-"
"5","ABC, Prisma Porintie 4 (E85 1.671)","08.09.",2.197,"2.307","2.305"
"6","Neste Oil, K-Supermarket Ahteentie 1","08.09.",2.144,"2.249","2.249"
"7","ABC, Kortela Unajantie 2, 8-tie","08.09.",2.186,"2.278","2.306"
"8","ABC, Talliketo Tallikedonkatu 12","08.09.",2.195,"2.295","2.303"
"9","St1,  Nortamonkatu 19","08.09.",2.178,"2.268","2.293"
"10","Shell Express,  Karjalankatu (*Vpower)","08.09.",2.165,"*2.275","2.277"
"11","Neste,  Karjalankatu 7","07.09.",2.184,"2.284","2.194"
"12","Teboil (A), Sampaanala Nortamonkatu 35","07.09.",2.169,"2.269","2.279"
"13","Neste, Syvärauma Syväraumankatu 24","07.09.",2.169,"2.229","-"
"14","Teboil Express, Papinhaka Papinhaankatu 7","07.09.",2.087,"2.177","-"
"15","St1, Kortela Vanha Turuntie, 8-tie","06.09.",2.092,"2.192","2.162"
"16","ABC, S-Market Äyhönjärventie 1","05.09.",2.142,"2.247","2.208"
