"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.981,"2.086","1.855"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","05.06.",1.937,"2.037","1.789"
"5","Shell Express,  Karjalankatu (*Vpower)","05.06.",1.947,"*2.047","-"
"6","ABC, Sale Monnankatu 4","04.06.",2.002,"2.102","-"
"7","Neste Oil, K-Supermarket Ahteentie 1","04.06.",1.947,"2.047","1.798"
"8","Teboil Express, Papinhaka Papinhaankatu 7","04.06.",1.947,"2.047","1.943"
"9","ABC, Kortela Unajantie 2, 8-tie","02.06.",2.018,"2.117","1.869"
"10","ABC, Talliketo Tallikedonkatu 12","02.06.",2.018,"2.118","1.869"
"11","St1, Kortela Vanha Turuntie, 8-tie","02.06.",1.998,"2.097","1.848"
"12","ABC, Prisma Porintie 4 (E85 1.671)","02.06.",2.018,"2.123","1.869"
