"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.053,"2.151","2.117"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","26.09.",2.039,"2.139","2.103"
"5","ABC, Prisma Porintie 4 (E85 1.671)","26.09.",2.065,"2.175","2.125"
"6","Neste Oil, K-Supermarket Ahteentie 1","26.09.",2.027,"2.127","2.091"
"7","Shell Express,  Karjalankatu (*Vpower)","26.09.",2.037,"*2.147","-"
"8","ABC, Sale Monnankatu 4","26.09.",2.054,"2.154","2.118"
"9","St1, Kortela Vanha Turuntie, 8-tie","26.09.",2.039,"2.139","2.103"
"10","Teboil Express, Papinhaka Papinhaankatu 7","26.09.",2.037,"2.137","2.101"
"11","Neste, Syvärauma Syväraumankatu 24","26.09.",2.059,"2.119","2.129"
"12","ABC, Talliketo Tallikedonkatu 12","26.09.",2.064,"2.164","2.128"
"13","Neste,  Karjalankatu 7","26.09.",2.06,"2.160","2.123"
"14","ABC, Kortela Unajantie 2, 8-tie","24.09.",2.106,"2.200","2.145"
