"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.041,"2.142","2.179"
"3","","",NA,"",""
"4","ABC, Talliketo Tallikedonkatu 12","17.09.",1.996,"2.096","-"
"5","Neste,  Karjalankatu 7","16.09.",2.023,"2.123","2.143"
"6","ABC, Kortela Unajantie 2, 8-tie","16.09.",2.054,"2.154","2.174"
"7","ABC, Prisma Porintie 4 (E85 1.671)","16.09.",2.041,"2.151","2.161"
"8","ABC, Sale Monnankatu 4","16.09.",2.054,"2.154","2.174"
"9","Teboil Express, Papinhaka Papinhaankatu 7","16.09.",2.022,"2.122","-"
"10","Shell Express,  Karjalankatu (*Vpower)","16.09.",2.013,"*2.123","-"
"11","ABC, S-Market Äyhönjärventie 1","15.09.",2.063,"2.168","2.205"
"12","Teboil (A), Sampaanala Nortamonkatu 35","15.09.",2.034,"2.134","2.199"
"13","St1, Kortela Vanha Turuntie, 8-tie","15.09.",2.034,"2.134","2.199"
"14","Neste, Syvärauma Syväraumankatu 24","15.09.",2.129,"2.189","2.219"
"15","St1,  Nortamonkatu 19","15.09.",2.049,"2.149","2.173"
"16","Neste Oil, K-Supermarket Ahteentie 1","15.09.",2.027,"2.127","2.147"
