"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","2.169","2.268","2.239"
"3","","","","",""
"4","Shell Express,  Karjalankatu (*Vpower)","04.09.","2.118","*2.228","-"
"5","Neste,  Karjalankatu 7","03.09.","-","2.228","2.203"
"6","St1,  Nortamonkatu 19","03.09.","2.158","2.258","-"
"7","Neste Oil, K-Supermarket Ahteentie 1","03.09.","2.138","2.238","-"
"8","ABC, Kortela Unajantie 2, 8-tie","02.09.","2.195","2.286","2.228"
"9","ABC, Sale Monnankatu 4","02.09.","2.195","2.295","2.267"
"10","Teboil Express, Papinhaka Papinhaankatu 7","02.09.","2.157","2.247","2.277"
"11","ABC, S-Market Äyhönjärventie 1","02.09.","2.190","2.295","2.261"
"12","Teboil (A), Sampaanala Nortamonkatu 35","02.09.","2.168","2.258","2.201"
"13","ABC, Talliketo Tallikedonkatu 12","02.09.","2.184","2.284","2.254"
"14","St1, Kortela Vanha Turuntie, 8-tie","02.09.","2.168","2.258","2.201"
"15","ABC, Prisma Porintie 4 (E85 1.671)","02.09.","2.186","2.296","2.256"
