"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.982,"2.088","2.187"
"3","","",NA,"",""
"4","ABC, Talliketo Tallikedonkatu 12","18.01.",2.042,"2.142","2.222"
"5","St1, Kortela Vanha Turuntie, 8-tie","18.01.",1.999,"2.109","2.189"
"6","Shell Express,  Karjalankatu (*Vpower)","18.01.",2.019,"*2.149","2.199"
"7","ABC, Kortela Unajantie 2, 8-tie","18.01.",2.023,"2.133","2.213"
"8","ABC, Sale Monnankatu 4","18.01.",2.023,"2.133","2.213"
"9","Neste Oil, K-Supermarket Ahteentie 1","18.01.",1.999,"2.109","2.189"
"10","ABC, S-Market Äyhönjärventie 1","18.01.",2.033,"2.153","2.218"
"11","ABC, Prisma Porintie 4 (E85 1.671)","18.01.",2.043,"2.173","2.223"
"12","Teboil Express, Papinhaka Papinhaankatu 7","18.01.",1.849,"1.949","-"
"13","Neste,  Karjalankatu 7","16.01.",1.859,"1.969","2.084"
"14","Teboil (A), Sampaanala Nortamonkatu 35","14.01.",1.914,"2.014","2.124"
