"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.147,"2.240","2.261"
"3","","",NA,"",""
"4","ABC, Talliketo Tallikedonkatu 12","11.09.",2.12,"2.220","2.240"
"5","ABC, Prisma Porintie 4 (E85 1.671)","11.09.",2.122,"2.237","2.242"
"6","St1, Kortela Vanha Turuntie, 8-tie","10.09.",2.134,"2.239","2.239"
"7","ABC, Kortela Unajantie 2, 8-tie","10.09.",2.161,"2.266","2.266"
"8","Neste,  Karjalankatu 7","09.09.",2.141,"2.241","2.263"
"9","ABC, Sale Monnankatu 4","08.09.",2.171,"-","-"
"10","Neste Oil, K-Supermarket Ahteentie 1","08.09.",2.144,"2.249","2.249"
"11","St1,  Nortamonkatu 19","08.09.",2.178,"2.268","2.293"
"12","Shell Express,  Karjalankatu (*Vpower)","08.09.",2.165,"*2.275","2.277"
"13","Teboil (A), Sampaanala Nortamonkatu 35","07.09.",2.169,"2.269","2.279"
"14","Neste, Syvärauma Syväraumankatu 24","07.09.",2.169,"2.229","-"
"15","Teboil Express, Papinhaka Papinhaankatu 7","07.09.",2.087,"2.177","-"
