"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.982,"2.091","2.178"
"3","","",NA,"",""
"4","ABC, Talliketo Tallikedonkatu 12","21.01.",1.902,"2.002","-"
"5","Neste,  Karjalankatu 7","20.01.",1.979,"2.089","2.159"
"6","ABC, S-Market Äyhönjärventie 1","19.01.",2.023,"2.143","2.206"
"7","St1, Kortela Vanha Turuntie, 8-tie","19.01.",1.999,"2.109","2.182"
"8","ABC, Prisma Porintie 4 (E85 1.671)","19.01.",2.023,"2.153","2.203"
"9","Shell Express,  Karjalankatu (*Vpower)","19.01.",1.999,"*2.129","2.179"
"10","ABC, Kortela Unajantie 2, 8-tie","19.01.",2.023,"2.133","2.206"
"11","Teboil Express, Papinhaka Papinhaankatu 7","19.01.",1.849,"1.949","2.069"
"12","ABC, Sale Monnankatu 4","18.01.",2.023,"2.133","2.213"
"13","Neste Oil, K-Supermarket Ahteentie 1","18.01.",1.999,"2.109","2.189"
