"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.152,"2.245","2.121"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","15.08.",2.127,"2.217","2.087"
"5","ABC, Talliketo Tallikedonkatu 12","15.08.",2.152,"2.252","2.114"
"6","St1, Kortela Vanha Turuntie, 8-tie","15.08.",2.132,"2.232","2.092"
"7","ABC, Prisma Porintie 4 (E85 1.304)","15.08.",2.154,"2.264","2.111"
"8","Neste,  Karjalankatu 7","15.08.",2.128,"2.228","2.088"
"9","St1,  Nortamonkatu 19","15.08.",2.142,"2.242","2.104"
"10","Shell Express,  Karjalankatu (*Vpower)","15.08.",2.127,"*2.237","2.084"
"11","Neste Oil, K-Supermarket Ahteentie 1","14.08.",2.132,"2.232","-"
"12","Teboil (A), Sampaanala Nortamonkatu 35","11.08.",2.145,"2.235","2.039"
"13","ABC, S-Market Äyhönjärventie 1","11.08.",2.145,"2.185","2.290"
"14","ABC, Kortela Unajantie 2, 8-tie","11.08.",2.184,"2.284","2.144"
"15","ABC, Sale Monnankatu 4","11.08.",2.185,"2.285","2.145"
"16","Neste, Syvärauma Syväraumankatu 24","11.08.",2.229,"2.289","2.159"
