"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.993,"2.092","2.007"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","03.04.",1.994,"-","-"
"5","Neste Oil, K-Supermarket Ahteentie 1","03.04.",1.974,"2.074","1.974"
"6","Teboil (A), Sampaanala Nortamonkatu 35","03.04.",1.989,"2.089","1.989"
"7","Neste, Syvärauma Syväraumankatu 24","03.04.",2.009,"2.079","2.059"
"8","Teboil Express, Papinhaka Papinhaankatu 7","03.04.",1.984,"-","-"
"9","Neste,  Karjalankatu 7","03.04.",1.974,"-","-"
"10","ABC, Talliketo Tallikedonkatu 12","02.04.",2.014,"2.114","-"
"11","St1,  Nortamonkatu 19","02.04.",2.004,"2.104","-"
