"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.073,"2.183","2.240"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","19.11.",2.049,"2.149","2.149"
"5","Teboil Express, Papinhaka Papinhaankatu 7","19.11.",2.007,"2.107","2.173"
"6","ABC, Talliketo Tallikedonkatu 12","17.11.",2.039,"2.139","-"
"7","Shell Express,  Karjalankatu (*Vpower)","17.11.",2.008,"*2.118","-"
"8","ABC, Prisma Porintie 4 (E85 1.671)","16.11.",2.127,"2.237","2.287"
"9","ABC, Sale Monnankatu 4","16.11.",2.126,"2.226","2.286"
"10","Neste Oil, K-Supermarket Ahteentie 1","16.11.",2.099,"2.199","2.259"
"11","ABC, Kortela Unajantie 2, 8-tie","16.11.",2.126,"2.226","2.286"
