"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","2.491","2.607","2.406"
"3","","","","",""
"4","St1,  Nortamonkatu 19","14.06.","2.459","2.559","-"
"5","Shell Express,  Karjalankatu (*Vpower)","14.06.","2.447","*2.557","-"
"6","Neste,  Karjalankatu 7","13.06.","-","2.598","2.399"
"7","ABC, Talliketo Tallikedonkatu 12","13.06.","2.487","-","-"
"8","St1, Kortela Vanha Turuntie, 8-tie","12.06.","2.474","2.584","2.369"
"9","ABC, Sale Monnankatu 4","12.06.","2.499","-","-"
"10","Neste Oil, K-Supermarket Ahteentie 1","12.06.","2.474","2.584","-"
"11","ABC, Kortela Unajantie 2, 8-tie","10.06.","2.599","2.709","2.449"
