"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","2.045","2.152","2.076"
"3","","","","",""
"4","Neste,  Karjalankatu 7","08.03.","2.064","2.164","2.114"
"5","ABC, Kortela Unajantie 2, 8-tie","08.03.","2.093","2.193","2.143"
"6","ABC, Prisma Porintie 4 (E85 1.671)","08.03.","2.093","2.203","-"
"7","Teboil Express, Papinhaka Papinhaankatu 7","08.03.","-","-","2.010"
"8","Shell Express,  Karjalankatu (*Vpower)","07.03.","1.988","*2.098","-"
"9","Teboil (A), Sampaanala Nortamonkatu 35","06.03.","2.023","2.123","2.053"
"10","Neste, Syvärauma Syväraumankatu 24","06.03.","2.009","2.079","2.059"
