"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.956,"2.048","1.763"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","22.05.",2.004,"2.104","-"
"5","Neste,  Karjalankatu 7","22.05.",1.894,"1.994","1.763"
"6","ABC, Kortela Unajantie 2, 8-tie","21.05.",1.939,"2.039","-"
"7","ABC, S-Market Äyhönjärventie 1","21.05.",1.939,"-","-"
"8","ABC, Talliketo Tallikedonkatu 12","21.05.",1.939,"-","-"
"9","ABC, Sale Monnankatu 4","21.05.",1.939,"2.039","-"
"10","Shell Express,  Karjalankatu (*Vpower)","19.05.",1.967,"*2.077","-"
"11","Neste Oil, K-Supermarket Ahteentie 1","19.05.",1.966,"2.066","-"
"12","ABC, Prisma Porintie 4 (E85 1.671)","18.05.",2.02,"-","-"
