"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.144,"2.243","2.143"
"3","","",NA,"",""
"4","Shell Express,  Karjalankatu (*Vpower)","29.08.",2.132,"*2.241","2.129"
"5","Teboil (A), Sampaanala Nortamonkatu 35","29.08.",2.132,"2.222","2.132"
"6","St1, Kortela Vanha Turuntie, 8-tie","29.08.",2.148,"2.232","2.132"
"7","St1,  Nortamonkatu 19","29.08.",2.148,"2.248","2.145"
"8","Neste Oil, K-Supermarket Ahteentie 1","29.08.",2.115,"2.215","2.118"
"9","ABC, Kortela Unajantie 2, 8-tie","29.08.",2.159,"2.259","2.159"
"10","ABC, Sale Monnankatu 4","29.08.",2.142,"2.242","2.145"
"11","ABC, S-Market Äyhönjärventie 1","29.08.",2.151,"2.256","2.152"
"12","ABC, Talliketo Tallikedonkatu 12","29.08.",2.158,"2.258","2.155"
"13","ABC, Prisma Porintie 4 (E85 1.671)","29.08.",2.16,"2.270","2.157"
"14","Teboil Express, Papinhaka Papinhaankatu 7","29.08.",2.131,"2.221","-"
"15","Neste,  Karjalankatu 7","29.08.",2.152,"2.251","2.150"
