"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.127,"2.228","2.199"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","06.09.",2.113,"2.203","2.177"
"5","St1, Kortela Vanha Turuntie, 8-tie","06.09.",2.092,"2.192","2.162"
"6","ABC, Talliketo Tallikedonkatu 12","06.09.",2.129,"2.229","-"
"7","Teboil Express, Papinhaka Papinhaankatu 7","06.09.",2.102,"2.192","-"
"8","Neste,  Karjalankatu 7","06.09.",2.108,"2.208","-"
"9","Shell Express,  Karjalankatu (*Vpower)","06.09.",2.103,"*2.213","-"
"10","ABC, Prisma Porintie 4 (E85 1.671)","05.09.",2.144,"2.254","2.215"
"11","ABC, Kortela Unajantie 2, 8-tie","05.09.",2.155,"2.245","2.225"
"12","ABC, Sale Monnankatu 4","05.09.",2.14,"2.240","2.204"
"13","ABC, S-Market Äyhönjärventie 1","05.09.",2.142,"2.247","2.208"
"14","St1,  Nortamonkatu 19","03.09.",2.158,"2.258","-"
"15","Neste Oil, K-Supermarket Ahteentie 1","03.09.",2.138,"2.238","-"
