"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,NA,""
"2","Keskihinnat:","",2.007,2.112,"2.164"
"3","","",NA,NA,""
"4","St1,  Nortamonkatu 19","31.01.",1.991,2.101,"2.129"
"5","Teboil Express, Papinhaka Papinhaankatu 7","31.01.",1.978,2.078,"-"
"6","Neste,  Karjalankatu 7","31.01.",1.976,2.076,"-"
"7","ABC, Kortela Unajantie 2, 8-tie","27.01.",2.038,2.148,"2.193"
"8","Teboil (A), Sampaanala Nortamonkatu 35","27.01.",2.044,2.144,"-"
"9","St1, Kortela Vanha Turuntie, 8-tie","27.01.",2.014,2.124,"2.169"
