"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.965,"2.068","1.824"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","06.06.",1.927,"2.027","1.773"
"5","Teboil (A), Sampaanala Nortamonkatu 35","06.06.",1.942,"2.042","-"
"6","St1,  Nortamonkatu 19","06.06.",1.942,"2.042","-"
"7","ABC, Talliketo Tallikedonkatu 12","06.06.",1.952,"2.052","-"
"8","Teboil Express, Papinhaka Papinhaankatu 7","06.06.",1.927,"2.027","1.789"
"9","Shell Express,  Karjalankatu (*Vpower)","05.06.",1.947,"*2.057","-"
"10","ABC, Sale Monnankatu 4","04.06.",2.002,"2.102","-"
"11","Neste Oil, K-Supermarket Ahteentie 1","04.06.",1.947,"2.047","1.798"
"12","ABC, Kortela Unajantie 2, 8-tie","02.06.",2.018,"2.117","1.869"
"13","St1, Kortela Vanha Turuntie, 8-tie","02.06.",1.998,"2.097","1.848"
"14","ABC, Prisma Porintie 4 (E85 1.671)","02.06.",2.018,"2.123","1.869"
