"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.01,"2.112","2.028"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","27.03.",1.979,"2.079","2.019"
"5","ABC, Prisma Porintie 4 (E85 1.671)","27.03.",1.999,"-","-"
"6","Shell Express,  Karjalankatu (*Vpower)","27.03.",1.979,"*2.089","2.019"
"7","Neste,  Karjalankatu 7","26.03.",1.979,"2.079","2.019"
"8","Neste Oil, K-Supermarket Ahteentie 1","24.03.",2.014,"2.114","2.054"
"9","Teboil (A), Sampaanala Nortamonkatu 35","23.03.",2.059,"2.159","-"
"10","ABC, Talliketo Tallikedonkatu 12","23.03.",2.059,"2.159","-"
"11","Neste, Syvärauma Syväraumankatu 24","23.03.",2.009,"2.079","-"
