"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.086,"2.189","2.214"
"3","","",NA,"",""
"4","ABC, Kortela Unajantie 2, 8-tie","25.10.",2.09,"2.190","2.209"
"5","St1, Kortela Vanha Turuntie, 8-tie","25.10.",2.063,"2.163","2.182"
"6","Neste,  Karjalankatu 7","25.10.",2.069,"2.169","-"
"7","Teboil Express, Papinhaka Papinhaankatu 7","25.10.",2.065,"2.165","-"
"8","Shell Express,  Karjalankatu (*Vpower)","25.10.",2.065,"*2.175","-"
"9","ABC, Sale Monnankatu 4","25.10.",2.09,"2.190","2.209"
"10","Neste Oil, K-Supermarket Ahteentie 1","25.10.",2.063,"2.163","2.182"
"11","Teboil (A), Sampaanala Nortamonkatu 35","24.10.",2.098,"2.198","2.218"
"12","St1,  Nortamonkatu 19","24.10.",2.098,"2.198","2.218"
"13","ABC, Talliketo Tallikedonkatu 12","24.10.",2.11,"2.210","2.239"
"14","ABC, Prisma Porintie 4 (E85 1.671)","21.10.",2.136,"2.246","2.256"
