"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.112,"2.213","2.230"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","17.10.",2.07,"2.179","2.179"
"5","Neste, Syvärauma Syväraumankatu 24","17.10.",2.165,"2.225","2.295"
"6","St1,  Nortamonkatu 19","17.10.",2.079,"2.179","2.169"
"7","ABC, Talliketo Tallikedonkatu 12","17.10.",2.1,"2.200","-"
"8","Shell Express,  Karjalankatu (*Vpower)","17.10.",2.074,"*2.184","-"
"9","Neste Oil, K-Supermarket Ahteentie 1","14.10.",2.119,"2.219","-"
"10","ABC, Kortela Unajantie 2, 8-tie","13.10.",2.176,"2.276","2.276"
