"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.056,"2.153","2.193"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","15.09.",2.043,"2.143","-"
"5","ABC, Kortela Unajantie 2, 8-tie","15.09.",2.061,"2.161","2.226"
"6","ABC, Sale Monnankatu 4","15.09.",2.061,"2.161","2.226"
"7","Teboil Express, Papinhaka Papinhaankatu 7","15.09.",2.037,"2.137","2.157"
"8","ABC, S-Market Äyhönjärventie 1","15.09.",2.063,"2.168","2.205"
"9","Teboil (A), Sampaanala Nortamonkatu 35","15.09.",2.034,"2.134","2.199"
"10","ABC, Talliketo Tallikedonkatu 12","15.09.",2.063,"2.163","2.183"
"11","St1, Kortela Vanha Turuntie, 8-tie","15.09.",2.034,"2.134","2.199"
"12","ABC, Prisma Porintie 4 (E85 1.671)","15.09.",2.065,"2.175","2.185"
"13","Neste, Syvärauma Syväraumankatu 24","15.09.",2.129,"2.189","2.219"
"14","St1,  Nortamonkatu 19","15.09.",2.049,"2.149","2.173"
"15","Neste Oil, K-Supermarket Ahteentie 1","15.09.",2.027,"2.127","2.147"
"16","Shell Express,  Karjalankatu (*Vpower)","13.09.",2.067,"*2.177","-"
