"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.138,"2.243","2.201"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","11.10.",2.176,"2.276","2.226"
"5","Neste Oil, K-Supermarket Ahteentie 1","11.10.",2.149,"2.249","2.199"
"6","ABC, Prisma Porintie 4 (E85 1.671)","11.10.",2.177,"2.287","2.227"
"7","ABC, Kortela Unajantie 2, 8-tie","11.10.",2.176,"2.276","2.226"
"8","St1, Kortela Vanha Turuntie, 8-tie","11.10.",2.149,"2.249","2.199"
"9","Neste,  Karjalankatu 7","11.10.",2.168,"-","-"
"10","Neste, Syvärauma Syväraumankatu 24","11.10.",2.119,"2.179","-"
"11","ABC, Talliketo Tallikedonkatu 12","11.10.",2.175,"2.275","2.225"
"12","Shell Express,  Karjalankatu (*Vpower)","11.10.",2.149,"*2.259","2.199"
"13","St1,  Nortamonkatu 19","11.10.",2.169,"2.269","2.219"
"14","Teboil Express, Papinhaka Papinhaankatu 7","11.10.",2.023,"-","-"
"15","ABC, S-Market Äyhönjärventie 1","10.10.",2.081,"2.186","2.141"
"16","Teboil (A), Sampaanala Nortamonkatu 35","07.10.",2.079,"2.179","2.149"
