"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.029,"2.128","2.182"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","18.09.",1.993,"2.093","-"
"5","Neste Oil, K-Supermarket Ahteentie 1","18.09.",1.966,"2.066","-"
"6","Neste,  Karjalankatu 7","17.09.",1.981,"2.081","2.128"
"7","ABC, Talliketo Tallikedonkatu 12","17.09.",1.996,"2.096","-"
"8","ABC, Kortela Unajantie 2, 8-tie","16.09.",2.054,"2.154","2.174"
"9","ABC, Prisma Porintie 4 (E85 1.671)","16.09.",2.041,"2.151","2.161"
"10","Teboil Express, Papinhaka Papinhaankatu 7","16.09.",2.022,"2.122","-"
"11","Shell Express,  Karjalankatu (*Vpower)","16.09.",2.013,"*2.123","-"
"12","ABC, S-Market Äyhönjärventie 1","15.09.",2.063,"2.168","2.205"
"13","Teboil (A), Sampaanala Nortamonkatu 35","15.09.",2.034,"2.134","2.199"
"14","St1, Kortela Vanha Turuntie, 8-tie","15.09.",2.034,"2.134","2.199"
"15","Neste, Syvärauma Syväraumankatu 24","15.09.",2.129,"2.189","2.219"
"16","St1,  Nortamonkatu 19","15.09.",2.049,"2.149","2.173"
