"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","1.965","2.072","1.950"
"3","","","","",""
"4","ABC, Sale Monnankatu 4","16.04.","1.948","2.048","1.938"
"5","ABC, Talliketo Tallikedonkatu 12","16.04.","1.948","2.048","1.939"
"6","Neste,  Karjalankatu 7","16.04.","1.928","2.028","1.919"
"7","Shell Express,  Karjalankatu (*Vpower)","16.04.","1.928","*2.038","-"
"8","Neste Oil, K-Supermarket Ahteentie 1","16.04.","1.928","2.028","1.918"
"9","St1,  Nortamonkatu 19","14.04.","1.968","2.068","1.969"
"10","Teboil Express, Papinhaka Papinhaankatu 7","13.04.","1.969","2.069","1.969"
"11","ABC, Kortela Unajantie 2, 8-tie","12.04.","2.099","2.199","-"
"12","Neste, Syvärauma Syväraumankatu 24","12.04.","-","2.089","1.999"
