"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,NA,NA
"2","Keskihinnat:","",1.951,2.058,2.074
"3","","",NA,NA,NA
"4","St1, Kortela Vanha Turuntie, 8-tie","29.12.",1.954,2.064,2.074
"5","ABC, S-Market Äyhönjärventie 1","29.12.",1.977,2.087,2.097
"6","ABC, Talliketo Tallikedonkatu 12","29.12.",1.974,2.074,2.094
"7","Teboil Express, Papinhaka Papinhaankatu 7","29.12.",1.929,2.029,2.059
"8","ABC, Prisma Porintie 4 (E85 1.671)","29.12.",1.977,2.087,2.097
"9","ABC, Kortela Unajantie 2, 8-tie","29.12.",1.976,2.086,2.098
"10","Neste,  Karjalankatu 7","28.12.",1.869,1.979,1.999
