"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.11,"2.210","2.308"
"3","","",NA,"",""
"4","ABC, Kortela Unajantie 2, 8-tie","09.11.",2.134,"2.234","2.384"
"5","St1, Kortela Vanha Turuntie, 8-tie","09.11.",2.119,"2.219","2.329"
"6","ABC, Prisma Porintie 4 (E85 1.671)","09.11.",2.147,"2.257","2.367"
"7","Neste Oil, K-Supermarket Ahteentie 1","09.11.",2.119,"2.219","2.329"
"8","ABC, Sale Monnankatu 4","09.11.",2.146,"2.246","2.356"
"9","Shell Express,  Karjalankatu (*Vpower)","09.11.",2.119,"*2.229","-"
"10","Neste,  Karjalankatu 7","08.11.",2.139,"2.239","-"
"11","St1,  Nortamonkatu 19","07.11.",2.034,"2.134","2.179"
"12","Teboil (A), Sampaanala Nortamonkatu 35","07.11.",2.031,"2.131","2.211"
