"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,NA,""
"2","Keskihinnat:","",2.027,2.135,"2.169"
"3","","",NA,NA,""
"4","Neste,  Karjalankatu 7","30.01.",1.986,2.096,"2.134"
"5","ABC, Kortela Unajantie 2, 8-tie","27.01.",2.038,2.148,"2.193"
"6","Teboil (A), Sampaanala Nortamonkatu 35","27.01.",2.044,2.144,"-"
"7","St1, Kortela Vanha Turuntie, 8-tie","27.01.",2.014,2.124,"2.169"
"8","St1,  Nortamonkatu 19","27.01.",2.024,2.134,"-"
"9","Neste Oil, K-Supermarket Ahteentie 1","26.01.",2.029,2.139,"2.179"
"10","ABC, Sale Monnankatu 4","26.01.",2.053,2.163,"-"
