"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.049,"2.160","2.208"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","02.12.",2.029,"2.129","2.164"
"5","Neste Oil, K-Supermarket Ahteentie 1","01.12.",2.039,"2.139","2.189"
"6","ABC, Talliketo Tallikedonkatu 12","01.12.",2.074,"2.174","2.224"
"7","ABC, Prisma Porintie 4 (E85 1.671)","01.12.",2.077,"2.187","2.227"
"8","St1,  Nortamonkatu 19","01.12.",2.064,"2.164","2.214"
"9","ABC, Kortela Unajantie 2, 8-tie","01.12.",2.076,"2.176","2.226"
"10","St1, Kortela Vanha Turuntie, 8-tie","01.12.",2.049,"2.149","2.199"
"11","ABC, Sale Monnankatu 4","30.11.",2.076,"2.176","2.226"
"12","Teboil (A), Sampaanala Nortamonkatu 35","30.11.",2.049,"2.149","2.199"
"13","Shell Express,  Karjalankatu (*Vpower)","29.11.",1.959,"*2.059","-"
