"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","1.976","2.097","1.965"
"3","","","","",""
"4","Neste,  Karjalankatu 7","13.04.","1.969","2.069","1.969"
"5","Neste Oil, K-Supermarket Ahteentie 1","13.04.","1.959","2.059","-"
"6","ABC, Sale Monnankatu 4","13.04.","1.979","-","1.979"
"7","Teboil Express, Papinhaka Papinhaankatu 7","13.04.","1.969","2.069","1.969"
"8","ABC, Kortela Unajantie 2, 8-tie","12.04.","2.099","2.199","-"
"9","Neste, Syvärauma Syväraumankatu 24","12.04.","-","2.089","1.999"
"10","St1,  Nortamonkatu 19","11.04.","1.949","-","1.949"
"11","ABC, Talliketo Tallikedonkatu 12","11.04.","1.959","-","1.959"
"12","ABC, Prisma Porintie 4 (E85 1.671)","11.04.","1.959","-","1.959"
"13","Shell Express,  Karjalankatu (*Vpower)","11.04.","1.939","-","1.939"
