"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.101,"2.210","2.238"
"3","","",NA,"",""
"4","Neste Oil, K-Supermarket Ahteentie 1","13.09.",2.057,"2.157","-"
"5","Teboil Express, Papinhaka Papinhaankatu 7","13.09.",2.067,"2.167","-"
"6","Shell Express,  Karjalankatu (*Vpower)","13.09.",2.067,"*2.177","-"
"7","Neste,  Karjalankatu 7","12.09.",2.083,"2.183","2.203"
"8","St1, Kortela Vanha Turuntie, 8-tie","11.09.",2.134,"2.239","2.239"
"9","ABC, Talliketo Tallikedonkatu 12","11.09.",2.12,"2.220","2.240"
"10","ABC, Prisma Porintie 4 (E85 1.671)","11.09.",2.122,"2.237","2.242"
"11","ABC, Kortela Unajantie 2, 8-tie","10.09.",2.161,"2.266","2.266"
