"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.046,"2.139","1.960"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","27.04.",2.024,"2.124","-"
"5","St1,  Nortamonkatu 19","27.04.",2.014,"2.114","-"
"6","Neste Oil, K-Supermarket Ahteentie 1","27.04.",2.007,"2.107","1.958"
"7","Neste,  Karjalankatu 7","27.04.",2.007,"2.107","1.962"
"8","Teboil Express, Papinhaka Papinhaankatu 7","26.04.",2.074,"2.174","-"
"9","ABC, Talliketo Tallikedonkatu 12","26.04.",2.109,"2.209","-"
"10","Shell Express,  Karjalankatu (*Vpower)","26.04.",2.084,"*2.194","-"
