"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.056,"2.159","2.146"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","03.10.",2.071,"2.171","2.171"
"5","ABC, Prisma Porintie 4 (E85 1.671)","03.10.",2.055,"2.165","2.085"
"6","Teboil Express, Papinhaka Papinhaankatu 7","03.10.",2.028,"-","-"
"7","ABC, Talliketo Tallikedonkatu 12","03.10.",2.055,"2.155","-"
"8","Shell Express,  Karjalankatu (*Vpower)","03.10.",2.028,"*2.138","-"
"9","Neste,  Karjalankatu 7","01.10.",2.054,"2.154","2.094"
"10","ABC, S-Market Äyhönjärventie 1","30.09.",2.077,"2.182","2.177"
"11","Teboil (A), Sampaanala Nortamonkatu 35","30.09.",2.059,"2.159","2.159"
"12","ABC, Kortela Unajantie 2, 8-tie","30.09.",2.086,"2.185","2.186"
"13","St1, Kortela Vanha Turuntie, 8-tie","30.09.",2.059,"2.159","2.159"
"14","St1,  Nortamonkatu 19","30.09.",2.059,"2.159","2.159"
"15","Neste Oil, K-Supermarket Ahteentie 1","30.09.",2.044,"2.144","2.144"
"16","Neste, Syvärauma Syväraumankatu 24","30.09.",2.059,"2.119","2.129"
