"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2,"2.107","1.929"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","15.06.",2.044,"2.144","1.909"
"5","ABC, Kortela Unajantie 2, 8-tie","14.06.",2.099,"2.199","-"
"6","St1,  Nortamonkatu 19","14.06.",2.089,"2.189","1.949"
"7","Teboil Express, Papinhaka Papinhaankatu 7","14.06.",1.913,"2.013","-"
"8","ABC, Sale Monnankatu 4","12.06.",1.968,"2.068","-"
"9","Neste Oil, K-Supermarket Ahteentie 1","12.06.",1.948,"2.048","-"
"10","ABC, Prisma Porintie 4 (E85 1.671)","12.06.",1.979,"2.089","-"
"11","Shell Express,  Karjalankatu (*Vpower)","12.06.",1.959,"*2.069","-"
