"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","2.139","2.256","2.111"
"3","","","","",""
"4","Neste,  Karjalankatu 7","04.08.","2.253","2.353","2.183"
"5","Teboil Express, Papinhaka Papinhaankatu 7","03.08.","2.098","2.198","-"
"6","Neste Oil, K-Supermarket Ahteentie 1","02.08.","-","-","2.039"
"7","St1,  Nortamonkatu 19","02.08.","2.116","2.216","-"
"8","ABC, Talliketo Tallikedonkatu 12","02.08.","2.126","-","-"
"9","Shell Express,  Karjalankatu (*Vpower)","02.08.","2.101","*2.211","-"
