"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.109,"2.210","2.241"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","23.10.",2.105,"2.205","-"
"5","ABC, Talliketo Tallikedonkatu 12","23.10.",2.105,"2.205","-"
"6","Neste Oil, K-Supermarket Ahteentie 1","23.10.",2.098,"2.198","-"
"7","Neste,  Karjalankatu 7","22.10.",2.104,"2.204","2.223"
"8","Teboil (A), Sampaanala Nortamonkatu 35","21.10.",2.114,"2.214","2.248"
"9","ABC, Prisma Porintie 4 (E85 1.671)","21.10.",2.136,"2.246","2.256"
"10","St1,  Nortamonkatu 19","21.10.",2.114,"2.214","2.244"
"11","ABC, Kortela Unajantie 2, 8-tie","21.10.",2.141,"2.241","2.291"
"12","St1, Kortela Vanha Turuntie, 8-tie","21.10.",2.114,"2.214","2.264"
"13","Shell Express,  Karjalankatu (*Vpower)","21.10.",2.108,"*2.218","-"
"14","Teboil Express, Papinhaka Papinhaankatu 7","19.10.",2.062,"2.162","2.162"
