"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.907,"2.016","2.154"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","23.01.",1.874,"1.984","2.132"
"5","Shell Express,  Karjalankatu (*Vpower)","23.01.",1.887,"-","-"
"6","ABC, Kortela Unajantie 2, 8-tie","23.01.",1.907,"2.017","2.153"
"7","St1, Kortela Vanha Turuntie, 8-tie","23.01.",1.883,"1.993","2.129"
"8","ABC, Prisma Porintie 4 (E85 1.671)","23.01.",1.911,"2.041","2.166"
"9","ABC, Talliketo Tallikedonkatu 12","23.01.",1.909,"2.009","2.165"
"10","Neste, Syvärauma Syväraumankatu 24","23.01.",1.999,"2.069","2.179"
"11","St1,  Nortamonkatu 19","22.01.",1.889,"1.999","-"
