"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.074,"2.178","2.260"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","15.11.",2.051,"2.151","-"
"5","Shell Express,  Karjalankatu (*Vpower)","15.11.",2.052,"*2.162","-"
"6","Teboil (A), Sampaanala Nortamonkatu 35","15.11.",2.074,"2.174","2.249"
"7","ABC, Talliketo Tallikedonkatu 12","15.11.",2.078,"2.178","2.254"
"8","St1, Kortela Vanha Turuntie, 8-tie","15.11.",2.074,"2.174","2.249"
"9","Neste,  Karjalankatu 7","15.11.",2.052,"2.162","2.228"
"10","St1,  Nortamonkatu 19","15.11.",2.059,"2.159","2.234"
"11","ABC, Kortela Unajantie 2, 8-tie","11.11.",2.141,"2.241","2.346"
"12","ABC, Sale Monnankatu 4","11.11.",2.084,"2.184","-"
