"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","","",""
"2","Keskihinnat:","","2.028","2.139","2.160"
"3","","","","",""
"4","Shell Express,  Karjalankatu (*Vpower)","12.02.","1.993","*2.013","-"
"5","Neste,  Karjalankatu 7","11.02.","1.988","2.098","2.128"
"6","ABC, Talliketo Tallikedonkatu 12","08.02.","2.052","2.152","-"
"7","St1, Kortela Vanha Turuntie, 8-tie","08.02.","-","2.129","2.164"
"8","ABC, Kortela Unajantie 2, 8-tie","08.02.","2.053","2.153","2.188"
"9","ABC, Prisma Porintie 4 (E85 1.671)","08.02.","2.053","2.163","-"
