"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.019,"2.122","2.004"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","20.03.",1.969,"2.069","-"
"5","Neste Oil, K-Supermarket Ahteentie 1","20.03.",1.949,"2.049","1.999"
"6","Neste,  Karjalankatu 7","19.03.",1.959,"2.059","2.009"
"7","ABC, Prisma Porintie 4 (E85 1.671)","19.03.",1.989,"-","-"
"8","ABC, Talliketo Tallikedonkatu 12","16.03.",2.055,"2.155","-"
"9","ABC, Kortela Unajantie 2, 8-tie","16.03.",2.069,"2.169","-"
"10","ABC, S-Market Äyhönjärventie 1","16.03.",2.069,"2.169","-"
"11","Teboil (A), Sampaanala Nortamonkatu 35","16.03.",2.063,"2.163","-"
"12","St1,  Nortamonkatu 19","16.03.",2.045,"2.145","-"
