"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.892,"1.997","2.113"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","17.01.",1.869,"1.969","-"
"5","Neste,  Karjalankatu 7","16.01.",1.859,"1.969","2.084"
"6","ABC, Talliketo Tallikedonkatu 12","16.01.",1.889,"-","-"
"7","Shell Express,  Karjalankatu (*Vpower)","16.01.",1.889,"-","-"
"8","ABC, Prisma Porintie 4 (E85 1.671)","14.01.",1.922,"2.022","2.132"
"9","St1, Kortela Vanha Turuntie, 8-tie","14.01.",1.902,"2.012","2.112"
"10","Teboil (A), Sampaanala Nortamonkatu 35","14.01.",1.914,"2.014","2.124"
