"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",NA
"2","Keskihinnat:","",2.178,"2.278",2.247
"3","","",NA,"",NA
"4","ABC, Kortela Unajantie 2, 8-tie","02.09.",2.195,"2.286",2.228
"5","ABC, Sale Monnankatu 4","02.09.",2.195,"2.295",2.267
"6","Teboil Express, Papinhaka Papinhaankatu 7","02.09.",2.157,"2.247",2.277
"7","ABC, S-Market Äyhönjärventie 1","02.09.",2.19,"2.295",2.261
"8","Teboil (A), Sampaanala Nortamonkatu 35","02.09.",2.168,"2.258",2.201
"9","ABC, Talliketo Tallikedonkatu 12","02.09.",2.184,"2.284",2.254
"10","St1, Kortela Vanha Turuntie, 8-tie","02.09.",2.168,"2.258",2.201
"11","ABC, Prisma Porintie 4 (E85 1.671)","02.09.",2.186,"2.296",2.256
"12","Neste,  Karjalankatu 7","02.09.",2.163,"2.263",2.233
"13","Shell Express,  Karjalankatu (*Vpower)","02.09.",2.158,"*2.268",2.228
"14","Neste Oil, K-Supermarket Ahteentie 1","02.09.",2.148,"2.248",2.218
"15","Teboil (A),  Hankkarintie 2","30.08.",2.206,"2.311",2.296
"16","St1,  Nortamonkatu 19","30.08.",2.199,"2.299",2.289
