"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.012,"2.113","2.034"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","14.03.",1.984,"2.084","2.034"
"5","Teboil (A), Sampaanala Nortamonkatu 35","13.03.",2.02,"2.120","-"
"6","St1, Kortela Vanha Turuntie, 8-tie","13.03.",1.998,"2.098","-"
"7","ABC, Kortela Unajantie 2, 8-tie","13.03.",2.022,"2.122","-"
"8","ABC, S-Market Äyhönjärventie 1","13.03.",2.019,"-","-"
"9","ABC, Prisma Porintie 4 (E85 1.671)","13.03.",2.022,"2.132","-"
"10","ABC, Talliketo Tallikedonkatu 12","13.03.",2.021,"2.121","-"
