"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.007,"2.102","2.155"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","19.09.",1.966,"2.066","2.117"
"5","ABC, Talliketo Tallikedonkatu 12","19.09.",1.992,"2.092","2.139"
"6","St1, Kortela Vanha Turuntie, 8-tie","19.09.",1.996,"2.066","2.117"
"7","ABC, Prisma Porintie 4 (E85 1.671)","19.09.",1.994,"2.104","2.141"
"8","St1,  Nortamonkatu 19","19.09.",1.981,"2.081","2.129"
"9","Teboil Express, Papinhaka Papinhaankatu 7","19.09.",1.965,"2.065","-"
"10","Neste,  Karjalankatu 7","19.09.",1.975,"2.075","-"
"11","ABC, Sale Monnankatu 4","18.09.",1.993,"2.093","-"
"12","Neste Oil, K-Supermarket Ahteentie 1","18.09.",1.966,"2.066","-"
"13","ABC, Kortela Unajantie 2, 8-tie","16.09.",2.054,"2.154","2.174"
"14","Shell Express,  Karjalankatu (*Vpower)","16.09.",2.013,"*2.123","-"
"15","ABC, S-Market Äyhönjärventie 1","15.09.",2.063,"2.168","2.205"
"16","Neste, Syvärauma Syväraumankatu 24","15.09.",2.129,"2.189","2.219"
