"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.983,"2.114","1.897"
"3","","",NA,"",""
"4","ABC, Sale Monnankatu 4","21.04.",2.042,"-","-"
"5","Neste Oil, K-Supermarket Ahteentie 1","21.04.",2.022,"2.122","-"
"6","Neste,  Karjalankatu 7","20.04.",2.054,"2.154","1.954"
"7","ABC, Kortela Unajantie 2, 8-tie","19.04.",2.101,"2.200","-"
"8","Teboil Express, Papinhaka Papinhaankatu 7","19.04.",1.879,"1.979","1.863"
"9","ABC, Prisma Porintie 4 (E85 1.671)","18.04.",1.903,"-","-"
"10","Shell Express,  Karjalankatu (*Vpower)","18.04.",1.883,"*1.993","1.873"
