"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.959,"2.080","1.920"
"3","","",NA,"",""
"4","ABC, Kortela Unajantie 2, 8-tie","19.04.",2.101,"2.200","-"
"5","Neste,  Karjalankatu 7","19.04.",2.079,"2.179","1.989"
"6","Teboil Express, Papinhaka Papinhaankatu 7","19.04.",1.879,"1.979","1.863"
"7","ABC, Prisma Porintie 4 (E85 1.671)","18.04.",1.903,"-","-"
"8","Shell Express,  Karjalankatu (*Vpower)","18.04.",1.883,"*1.993","1.873"
"9","ABC, Sale Monnankatu 4","16.04.",1.948,"2.048","1.938"
"10","ABC, Talliketo Tallikedonkatu 12","16.04.",1.948,"2.048","1.939"
"11","Neste Oil, K-Supermarket Ahteentie 1","16.04.",1.928,"2.028","1.918"
