"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.017,"2.116","1.857"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","03.06.",1.987,"2.087","1.838"
"5","ABC, Kortela Unajantie 2, 8-tie","02.06.",2.018,"2.117","1.869"
"6","ABC, Talliketo Tallikedonkatu 12","02.06.",2.018,"2.118","1.869"
"7","St1, Kortela Vanha Turuntie, 8-tie","02.06.",1.998,"2.097","1.848"
"8","ABC, Prisma Porintie 4 (E85 1.671)","02.06.",2.018,"2.123","1.869"
"9","Shell Express,  Karjalankatu (*Vpower)","02.06.",1.998,"*2.108","1.849"
"10","ABC, Sale Monnankatu 4","01.06.",2.06,"2.160","-"
"11","Neste Oil, K-Supermarket Ahteentie 1","01.06.",2.04,"2.140","-"
"12","Teboil Express, Papinhaka Papinhaankatu 7","01.06.",2.069,"2.169","-"
"13","Neste, Syvärauma Syväraumankatu 24","30.05.",1.959,"2.029","-"
